Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,Optimized_Position,Optimized_Turnover,Optimized_Transaction_Cost,Optimized_Gross_Return,Optimized_Net_Return,Optimized_Portfolio_Value
2025-01-03,24005.657731569627,24050.756,1,-6.11793561242635e-05,-6.11793561242635e-05,-6.11793561242635e-05,6.11793561242635e-05,0.0018786516468184,0.2,2.0,0.002,-0.0019877641287751,80051.4388571307,-0.0124364934910656,0.6000007912252838,0.19999999000211865,0.00019999999000211866,-3.670766208121152e-05,-0.00023670765208333019,95561.65764508917
2025-01-06,23764.867393949105,23974.494,1,-0.0100305661404086,-0.0100305661404086,-0.0100305661404086,-0.0100305661404086,0.0088208615926999,0.5,0.0,0.0,-0.0050152830702043,79649.95823108504,0.0018786516468184,0.800000471003862,0.19999967977857813,0.00019999967977857815,-0.00802445763676227,-0.008224457316540848,94775.71487068925
2025-01-07,23729.659849656087,23933.654,1,-0.001481495508028,-0.001481495508028,-0.001481495508028,-0.001481495508028,0.0085965897377525,0.5,0.0,0.0,-0.000740747754014,79590.95770341805,0.0088208615926999,0.9999999735665358,0.19999950256267385,0.00019999950256267384,-0.0014814954688669416,-0.0016814949714296155,94616.34998272052
2025-01-08,23704.49929605252,23802.611,1,-0.0010602998004597,-0.0010602998004597,-0.0010602998004597,-0.0010602998004597,0.0041389485903977,0.2,0.0,0.0,-0.0002120599600919,79574.07964810378,0.0085965897377525,0.9999999542069364,1.935959936805176e-08,1.935959936805176e-11,-0.0010602997519053238,-0.0010602997712649232,94516.02828847592
2025-01-09,23594.48968111841,23817.84,1,-0.0046408748634664,-0.0046408748634664,-0.0046408748634664,-0.0046408748634664,0.0094662068093096,0.5,0.0,0.0,-0.0023204374317332,79389.4329750926,0.0041389485903977,0.9999999458035405,8.403395979073025e-09,8.403395979073026e-12,-0.004640874611947413,-0.004640874620350809,94077.39125157558
2025-01-10,23493.756518371712,23822.715,1,-0.0042693511963224,-0.0042693511963224,-0.0042693511963224,-0.0042693511963224,0.0140019533007013,1.0,0.0,0.0,-0.0042693511963224,79050.49160444502,0.0094662068093096,0.9999999605470659,1.4743525400540136e-08,1.4743525400540138e-11,-0.004269351027883969,-0.004269351042627494,93675.741843148
2025-01-13,23241.717746345177,23741.643,1,-0.0107279043191516,-0.0107279043191516,-0.0107279043191516,-0.0107279043191516,0.0215098238052321,1.0,0.0,0.0,-0.0107279043191516,78202.44549413065,0.0140019533007013,0.9999999868027031,2.6255637219918526e-08,2.6255637219918525e-11,-0.01072790417757226,-0.010727904203827897,92670.7974584322
2025-01-14,23201.133329978304,23504.377,1,-0.001746188332971,-0.001746188332971,-0.001746188332971,-0.001746188332971,0.013070209360414,1.0,0.0,0.0,-0.001746188332971,78065.88929619899,0.0215098238052321,0.9999999865598567,2.42846409648223e-10,2.42846409648223e-13,-0.0017461883095019786,-0.001746188309744825,92508.97679525556
2025-01-15,23208.590459343686,23321.99,1,0.0003214122887587,0.0003214122887587,0.0003214122887587,0.0003214122887587,0.0048861020170512,0.2,0.0,0.0,6.428245775174091e-05,78070.90756342953,0.013070209360414,0.9999999906195852,4.059728553329478e-09,4.059728553329478e-12,0.0003214122857437194,0.00032141228168399084,92538.71031656355
2025-01-16,23272.37794627161,23245.863,-1,0.0027484429543302,0.0027484429543302,0.0027484429543302,0.0027484429543302,-0.0011393311991074,0.2,2.0,0.002,-0.0014503114091339,77957.68043546884,0.0048861020170512,0.9999997446079988,2.460115864355572e-07,2.460115864355572e-10,0.002748442252399854,0.0027484420063882673,92793.04759521461
