Date,Actual_Close,Predicted_Close
2025-11-10,25554.27609291745,25534.586
2025-11-11,25641.216865985658,25481.826
2025-11-12,25786.19769883305,25544.484
2025-11-13,25843.645621706266,25721.47
2025-11-14,25884.686267332654,25788.29
2025-11-17,25964.266147800325,25885.86
2025-11-18,25930.75920855969,25897.582
2025-11-19,26006.092102004957,25887.928
2025-11-20,26121.08244826078,25922.838
2025-11-21,26088.3686375474,26112.008
2025-11-24,26008.723439459216,26202.662
2025-11-25,25932.135024709685,26108.96
2025-11-26,26100.96074681418,26017.125
2025-11-27,26171.781282867538,26195.89
2025-11-28,26191.044126602075,26310.371
2025-12-01,26181.591836533746,26293.094
2025-12-02,26089.26212107507,26251.246
2025-12-03,26025.44262050027,26131.256
2025-12-04,26030.576863388545,26058.076
2025-12-05,26126.91127690843,26067.021
2025-12-08,26024.094836206237,26165.068
2025-12-09,25910.101899800902,26093.916
2025-12-10,25816.097755970513,25897.451
2025-12-11,25867.056528068493,25676.504
2025-12-12,25978.236325237336,25806.02
2025-12-15,26008.559826692686,26003.746
2025-12-16,25916.80636641316,26079.79
2025-12-17,25856.081075197817,25789.17
2025-12-18,25831.03197596404,25628.764
2025-12-19,25914.694257227704,25638.766
2025-12-22,26073.965406776548,25844.73
2025-12-23,26137.7372339235,26048.613
2025-12-24,26140.433330224216,26126.455
2025-12-26,26079.78407955549,26085.186
2025-12-29,25994.690397260925,25957.445
2025-12-30,25960.178892388853,25975.361
2025-12-31,26064.886653884667,26028.072
2026-01-01,26115.357860258046,26180.564
2026-01-02,26247.11833159194,26125.5
2026-01-05,26249.085193648112,26169.87
2026-01-06,26205.584268829778,26191.316
2026-01-07,26165.514487057226,26303.037
2026-01-08,25987.109781291278,26295.574
2026-01-09,25799.34549317765,26096.414
2026-01-12,25793.724169249417,25791.055
2026-01-13,25755.76242776161,25621.143
2026-01-14,25700.0387414772,25632.59
2026-01-16,25696.52266447155,25639.787
2026-01-19,25627.90688430656,25623.268
2026-01-20,25383.531990419408,25582.465
2026-01-21,25243.836537795418,25394.83
2026-01-22,25272.305564496874,25092.059
2026-01-23,25134.079065284284,25011.37
2026-01-27,25159.617048805037,24876.746
2026-01-28,25272.799437103604,24931.447
2026-01-29,25363.0947921686,25064.686
2026-01-30,25336.8627093825,25291.537
2026-02-02,25183.304551466754,25238.564
